date,dec15
2011/11/29,10.13
2011/11/30,10.52
2011/12/01,10.1
2011/12/02,10
2011/12/05,9.48
2011/12/06,9.09
2011/12/07,9.3
2011/12/08,9.71
2011/12/09,9.89
2011/12/12,9.6
2011/12/13,9.03
2011/12/14,8.45
2011/12/15,8.81
2011/12/16,8.71
2011/12/19,8.98
2011/12/20,10.71
2011/12/21,10.07
2011/12/22,9.81
2011/12/23,9.95
2011/12/28,9.5
2011/12/29,8.98
2011/12/30,9.02
2012/01/03,8.23
2012/01/04,8.2
2012/01/05,8.34
2012/01/06,8.2
2012/01/09,8.45
2012/01/10,8.87
2012/01/11,8.72
2012/01/12,8.87
2012/01/13,8.6
2012/01/16,8.33
2012/01/17,8.29
2012/01/18,8.42
2012/01/19,8.95
2012/01/20,9.05
2012/01/23,8.93
2012/01/24,9.44
2012/01/25,9.58
2012/01/26,9.9
2012/01/27,10.39
2012/01/30,9.9
2012/01/31,10.19
2012/02/01,10.71
2012/02/02,11
2012/02/03,10.77
2012/02/06,11.03
2012/02/07,11.01
2012/02/08,10.86
2012/02/09,10.24
2012/02/10,10.14
2012/02/13,9.92
2012/02/14,10.37
2012/02/15,10.68
2012/02/16,10.54
2012/02/17,11.66
2012/02/20,11.14
2012/02/21,11.62
2012/02/22,11.74
2012/02/23,11.48
2012/02/24,11.96
2012/02/27,12.06
2012/02/28,11.51
2012/02/29,11.41
2012/03/01,11.25
2012/03/02,11.46
2012/03/05,11.36
2012/03/06,10.96
2012/03/07,10.86
2012/03/08,10.96
2012/03/09,10.21
2012/03/12,9.91
2012/03/13,9.91
2012/03/14,10.26
2012/03/15,10.23
2012/03/16,9.74
2012/03/19,9.69
2012/03/20,9.24
2012/03/21,9.08
2012/03/22,8.9
2012/03/23,8.71
2012/03/26,8.68
2012/03/27,9.03
2012/03/28,9.11
2012/03/29,8.75
2012/03/30,8.62
2012/04/02,7.96
2012/04/03,7.79
2012/04/04,7.74
2012/04/05,8.2
2012/04/10,8.29
2012/04/11,8.5
2012/04/12,8.69
2012/04/13,8.99
2012/04/16,8.5
2012/04/17,8.74
2012/04/18,8.94
2012/04/19,8.95
2012/04/20,9.08
